"bar_index","sequence_index","chant","piano_right_hand","piano_left_hand"
"31","0","\grace{fis''8} e''4 d''8 c''8 b'8[ a'8] g'8[ fis'8]","r8 <c'' e''>8 <d'' b'>8 <c'' a'>8 <b' d'>8 <a' c'>8 <g' b>8 <fis' a>8","<c, c>2 d4 d,4"
"32","0","\grace{c''8} b'4 a'8[ g'8] e''4. c''8","r4 <g' b'>4 r4 <g' e''>4","<g, g>4 r4 c4 r4"
"33","0","d''16([ e''16 d''16 c''16) b'8] b'8 b'16([ c''16 b'16 a'16) g'8] b'8","<b' d''>4 r4 <d' b'>4 r4","g4 r4 g,4 r4"
"34","0","b'4. \grace { d''32 [ c''32 b'32 ] } c''8 a'4 d'8. [ d''16 ]","r4 <g' b'>4( <fis' a'>4) r4","<d, d>2. r4"
"35","0","e''4. c''8 c''4 e''8.\noBeam e''16","\times 2/3 {g'8 c''8 e''8} \times 2/3 {g'8 c''8 e''8} \times 2/3 {g'8 c''8 e''8} \times 2/3 {g'8 c''8 e''8}","r4 <c c'>4 <c c'>4 r4"
"36","0","a'4. c''16( b'16) a'4 e''8.\noBeam e''16","<fis' a'>8 d'8 <fis' a'>8 d'8 <fis' a'>4 r4","<d, d>2. r4"
"37","0","\grace{b'8} a'4 a'4 d''8[ g''8] b'8[ d''8]","r4 <d' fis' a'>4 <b' d''>4 <g' b'>4","r4 <d, d>4 r2"
"38","0","a'4.( fis'8) d'4 d''8. [ d''16 ]","\times 2/3  { r8 d'8 [ fis'8 ] } \times 2/3  { a'8 [ fis'8 d'8 ] } \times 2/3  { r8 fis'8 [ a'8 ] } \times 2/3  { d''8 [ a'8 fis'8 ] }","d2 d,2"
"39","0","cis''8[ d''8] e''8[ d''8 ] cis''8 [ d''8] e''8[ c''8 ]","<ais' cis''>8 [ <b' d''>8 <c'' e''>8 <b' d''>8 ] <ais' cis''>8 [ <b' d''>8 <c'' e''>8 <ais' c''>8 ]","<g, g>2 <g, g>4. c8"
"40","0","\partial 4 d''8.\noBeam ( d''16)","\partial 4 r4","\partial 4 r4"
"40","1","dis''4 e''4 cis''4 d''4","<fis' a' b' dis''>4 <g' b' e''>4 <e' g' a' cis''>4 <fis' a' d''>4","<b, b>4 e4 <a, a>4 d4"
"41","0","d''4 d'4 cis''16 d''16 e''16 d''16 c''16[ b'16 c''16] a'16","<d' fis' a' d''>4 r4 r2","<d, d>4 r4 r2"
"42","0","fis'4( fis'16) [ a'16 g'16 b'16 ] a'4 d''8.\noBeam d''16","r4 <fis' a'>4 <fis' a'>4 r4","r4 <d, d>4 <d, d>4 r4"
"43","0","\partial 4 d''8.\noBeam ( d''16)","\partial 4 r4","\partial 4 r4"
"43","1","d''8[ b'8] g''8[ fis''8] e''8[ d''8] c''8[ b'8]","{<<{\voiceOne d''4 g''8[ fis''8] e''8 d''8 c''8 b'8} \new Voice {\voiceTwo b'4 r8 d''8 c''8 b'8 a'8 g'8}>>}","<g, g>1"
"44","0","\partial 4 d''8.\noBeam ( d''16)","\partial 4 r4","\partial 4 r4"
"44","1","d''16[ e''16 d''16 c''16 b'8] b'8 b'16[ c''16 b'16a'16 g'8] b'8","<b' d''>4 r4 <d' b'>4 r4","g4 r4 g,4 r4"
"45","0","\partial 2. a'2 g'4","\partial 2. <c' a'>2 <b g'>4","\partial 2. <g, g>2."
"46","0","a'4 d''4 r4 d''8.\noBeam d''16","\times 2/3  { fis'8 [ a'8 d''8 ] } \times 2/3  { fis'8 [ a'8 d''8 ] } \times 2/3  { fis'8 [ a'8 d''8 ] } \times 2/3  { fis'8 [ a'8 d''8 ] }","<d, d>4 r4 <d, d>4 r4"
"47","0","b'4.\fermata \grace { c''16( b'16 a'16 b'16) } c''8 a'4 d''8.\noBeam d''16","<g' b'>2\fermata <fis' a'>4 r4","<d, d>2. r4"
"48","0","a'4.( d''8) d''4 d'8.\noBeam d'16","r4 <d' fis' a' d''>8. [ <d' fis' a' d''>16 ] <d' fis' a' d''>4 <d' fis' a' d''>4","r4 <d, d>8. [ <d, d>16 ] <d, d>4 <d, d>4"
"49","0","\partial 4 d'8.\noBeam d'16","\partial 4 d'4","\partial 4 r4"
"49","1","e'4. e'8 fis'4 g'4","<cis' e'>2 <c' fis'>4 <b g'>4","<d, d>1"
"50","0","a'4 c''8[ a'8] a'8[ g'8] g'8[ fis'8]","r8 <c' a'>8[ <e' c''>8 <c' a'>8] <c' a'>8 <b g'>8 <b g'>8 <a fis'>8","<c, c>2 d4 d,4"
"51","0","b'4. \grace { c''16( b'16 a'16 b'16) } c''8 a'4 a'8.\noBeam a'16","<g' b'>2( <fis' a'>4) <fis' a'>4","r4 d4 d,4 r4"
"52","0","gis'4 a'8 r16 ^\fermata g'16 fis'4 \grace { a'16 } g'8 [ fis'16 e'16 ]","<d'' fis''>4 <cis'' a''>8 r16 ^\fermata <e' g'!>16 <d' fis'>4 <cis' e'>4","<bes, bes>4 <a, a>8 r16 ^\fermata <cis a>16 <d a>4 <a, a>4"
"53","0","c'4 \times 2/3 {e''8 c''8 a'8} g'4 a'4","\times 2/3 {e'8 g'8 c''8} \times 2/3 {c'8 e'8 a'8} \times 2/3 {b8 d'8 g'8} \times 2/3 {a8 c'8 fis'8}","<c, c>2 d4 d,4"
"54","0","d''4\fermata d'4 d''8.[ b'16] c''8.[ a'16]","<d' fis' a' d''>4\fermata r4 <g' b'>4 <d' fis' a'>4","<d, d>4\fermata r4 <g b>4 <d a>4"
"55","0","b'4 \grace { e''16 } d''8 [ c''16 b'16 ] a'4 b'4","\times 2/3  { b8 d'8 g'8 } \times 2/3 { b8 d'8 g'8 } \times 2/3 { c'8 d'8 a'8 } \times 2/3  { b8 d'8 g'8 }","<g, g>2 <fis, fis>4 <g, g>4"
"56","0","cis''4.( d''16 [ e''16 ]) d''4 d''8.\noBeam d''16","<e' cis''>2 <d' d''>8 [ a'8 fis'8 d'8 ]","<a, a>4 <g, g>4 <fis, fis>4 r4"
"57","0","fis'4 d'4 d''8[ g''8] b'8[ d''8]","<a d' fis'>4 r4 <b' d''>4 <g' b'>4","<d, d>4 r4 r2"
"58","0","b'4. \grace { d''16( c''16 b'16 c''16) } c''8 a'4 d''8.\noBeam d''16","<g' b'>2. <fis' a'>4","<d, d>2. r4"
"59","0","\grace { c''8 } b'4 a'8 [ g'8 ] fis'8 [ g'8] a'8[ b'8 ]","r8 <d' b'>8 [ <c' a'>8 <b g'>8 ] <a fis'>8 [ <b g'>8 <c' a'>8 <b b'>8 ]","g,4 a,8 [ b,8 ] c8 [ b,8 a,8 g,8 ]"
