"bar_index","sequence_index","chant","piano_right_hand","piano_left_hand"
"128","0","e''8[ d''8] d''8[ c''8] c''8[ a'8] b'8[ g'8]","r8 <b' d''>8[ <b' d''>8 <a' c''>8] <a' c''>8 <fis' a'>8 <g' b'>8 <g' b'>8","<g, g>2 d4 g4"
"129","0","dis''8 [ e''8] g''8[ b'8 ] \grace { dis''8 } cis''4 b'8 [ cis''8 ]","r4 <g' b'>4 r4 <e' cis''>4","<g, g>4 r4 <a, a>4 r4"
"130","0","\partial 4 d''8.\noBeam( d''16)","\partial 4 <b' d''>8. <b' d''>16","\partial 4 r4"
"130","1","d''8[( c''8)] c''8[( b'8)] b'8[( a'8)] a'8[( g'8)]","<b' d''>8[( <a' c''>8)] <a' c''>8[( <g' b'>8)] <g' b'>8[( <fis' a'>8)] <fis' a'>8[( <e' g'>8)]","<g, g>4 r4 <g, g>4 r4"
"131","0","g'4. e''8 d''8[ c''8] b'8[ a'8]","r8 e'16[ g'16 c''8 <c'' e''>8] <b' d''>8 <a' c''>8 <g' b'>8 <fis' a'>8","<c, c>4. c'8 d'4 d4"
"132","0","\partial 2. <d' d''>4 r4 r4","\partial 2. r8 <fis' d''>8[ <a' fis''>8 <g' e''>8] <fis' d''>4","\partial 2. <d, d>2."
"133","0","d''32[( c''32) b'8.] b'32[( a'32) g'8.] d''32[( c''32) b'8.] b'32[( a'32) g'8.]","<b' d''>8 [ d'8 <g' b'>8 d'8 ] <b' d''>8 [ d'8 <g' b'>8 d'8 ]","<g, g>2 <g, g>2"
"134","0","a'4.( b'8) c''4 a'8.\noBeam d''16","r8 a'16 [ gis'16 a'8 <gis' b'>8 ] <a' c''>8 r8 <d' a' d''>4","<a c'>4 r4 r4 fis4"
"135","0","\partial 4 d''8.\noBeam b'16","\partial 4 r4","\partial 4 r4"
"135","1","gis'8[ f''8] e''8[ d''8] c''8[ b'8] a'8[ gis'8]","<gis' b' d'' f''>2 e''2","<e, e>2 gis2"
"136","0","cis''4 d''4 c''4 b'4","r8 <e' g' a' cis''>8 [ r8 <fis' a' d''>8 ] r8 <d' a' c''>8 [ r8 <d' g' b'>8 ]","<e, e>4 <d, d>4 <fis, fis>4 <g, g>4"
"137","0","\grace { b'8 } a'4 a'4 r4 d''8.\noBeam d''16","r8 d'16 [ fis'16 a'8 fis'16 a'16 ] d''4 r4","<d, d>4 <d, d>4 <d, d>4 r4"
"138","0","d''4.( e''8) fis''4 e''4","<fis' gis' d''>2 <a' d'' fis''!>4 <gis' a' cis'' e''>4","<bes, bes>2 <a, a>4 <a, a>4"
"139","0","d''8([ c''8]) c''8[( b'8]) b'8[( a'8]) a'8[( g'8])","r8 <g' c''>4 <fis' gis' b'>4 <e'! a'>4 <e' gis'>8","<e e'>4 <d d'>4 <c c'>4 <cis cis'>4"
"140","0","\partial 4 g'8.\noBeam( b'16)","\partial 4 r4","\partial 4 r4"
"140","1","d''4 \grace{c''16} b'8[ a'16 g'16] fis'4 g'4","<b' d''>4 r8. <b g'>16 <a fis'>4 <b g'>4","<g, g>4 r4 c8([ d8]) b,8 g,8"
"141","0","\grace { e''8 } d''4 c''8 [ b'8 ] \grace { c''8 } b'4 a'8 [ g'8 ]","r8 <b' d''>8 [ <a' c''>8 <g' b'>8 ] r8 <d' b'>8 [ <c' a'>8 <b g'>8 ]","g4 r4 g,4 r4"
"142","0","\grace { d''8 } c''4 b'4 r4 d''8.\noBeam d''16","<d' a' c''>4 <d' g' b'>8 [ r16 <g' b' d'' g''>16 ] <g' b' d'' g''>4 r4","<fis, fis>4 <g, g>8 [ r16 <g, g>16 ] <g, g>4 r4"
"143","0","\partial 2. <d' d''>4 r4 r4","\partial 2. d''16 fis''16 a''16 g''16 fis''16 g''16 e''16 fis''16 d''4","\partial 2. {<<{\voiceOne fis4 a8 g8 fis4} \new Voice {\voiceTwo d2.}>>}"
"144","0","g''8.[ fis''16] e''8.[ d''16] c''8.[ b'16] a'8.[ g'16]","<g' b' d'' g''>4 r4 r4 <g' b' d'' g''>4","<b, b>4 r4 r4 <b, b>4"
"145","0","g'4. b'8 a'4. b'8","\times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8}","<g, g>4 r4 <g, g>4 r4"
"146","0","dis''4 e''8 r16\fermata e''16 d''8.[ c''16] b'8.[ a'16]","r4 <g' e''>8 r8\fermata d''8[ r16 c''16] b'8[ r16 a'16]","<c c'>4. r8\fermata d'8 r8 d8 r8"
"147","0","a'4( a'16) b'16 c''16 a'16 g'4 g'8. g'16","<a d' fis' a'>2 <b g'>8 <b' g''>4 <g' b'>8","r4 <d, d>4( <e, e>8) r8 <b, b>4"
"148","0","\partial 2. g'4 r4 r4","\partial 2. g'16 b'16 d''16 c''16 b'16 c''16 a'16 b'16 g'4","\partial 2. {<<{\voiceOne b4 d'8 c'8 a4} \new Voice {\voiceTwo g2.}>>}"
"149","0","c''4. d''8 \grace { c''8 } b'4 a'8[ g'8 ]","<a' c''>8 [ d'8 <a' c''>8 d'8 ] <g' b'>8 [ d'8 <g' b'>8 d'8 ]","<fis, fis>2 <g, g>2"
"150","0","\partial 4 b'8.\noBeam( c''16)","\partial 4 <b' d''>8. <c'' e''>16","\partial 4 r4"
"150","1","d''4. e''8 a'4 b'4","<b' d''>4. <c'' e''>8 <fis' a'>4. <g' b'>8","g4 g,8 r8 c'8( d'8) b8 g8"
"151","0","b'8[ g'8] d''8[ b'8] g''8[ d''8] b'8[ g'8]","<g' b'>8 d'8 <g' b'>8 d'8 <g' b'>8 d'8 <g' b'>8 d'8","<g, g>4 r4 <g, g>4 r4"
"152","0","cis''8[( b'8)] g''8[ e''8] e''8[( d''8)] d''8([ cis''8 ])","r8 <g' b'>8 r8 <g' e''>8 r8 <fis' d''>8 r8 <e' cis''>8","<g, g>8 r8 g8 r8 a8 r8 a,8 r8"
"153","0","\grace{b'8} a'4 a'4 d''32 c''32 b'8. g''4","<a' c''>2 <g' b'>8 r8 <g' b'>8 r8","r8 a8 [ d8 fis8 ] g8 r8 g,8 r8"
"154","0","a'4 d''4 r4 d''8.\noBeam d''16","r4 <d' fis' a' d''>8. [ <d' fis' a' d''>16 ] <d' fis' a' d''>8 [ a'8 fis'8 d'8 ]","r4 <fis, fis>8. [ <fis, fis>16 ] <fis, fis>4 r4"
"155","0","d''4. cis''8 c''4 b'8. b'16","<d' fis' a' d''>4. <g' cis''>8 <a' c''>4 <g' b'>4","r8 <d, d>4 <e, e>8 fis8 d8 g8 g,8"
"156","0","d''32[( c''32) b'8.] b'32[( a'32) g'8.] d''32[( c''32) b'8.] b'32[( a'32) g'8.]","<b' d''>8[ d'8] <g' b'>8[ d'8] <b' d''>8[ d'8] <g' b'>8 d'8","<g, g>2 <g, g>2"
"157","0","a'4 d''4 r4 d''8.\noBeam b'16","\times 2/3 {a'8 fis'8 d'8} \times 2/3 {d''8 a'8 fis'8} \times 2/3 {a'8 fis'8 d'8} \times 2/3 {d''8 b'8 g'8}","<d, d>2 <c, c>4 <b,, b,>4"
"158","0","a'16 g'16 fis'16 e'16 d'4 r4 g'8. b'16","<fis' a'>4 r8. <fis' a' d''>16 <fis' a' d''>4 r4","d4 r8. <d, d>16 <d, d>4 r4"
"159","0","\partial 2. a'2 g'4","\partial 2. <d' a' c''>2 <b g'>4","\partial 2. <d, d>2 <g, g>4"
"160","0","\partial 4 d''8.\noBeam d''16","\partial 4 r4","\partial 4 r4"
"160","1","d''32[ c''32 b'8.] b'32[ a'32 g'8.] g'8[ a'16( g'16) fis'8] g'8","<b' d''>8 r8 <g' b'>8 r8 <b g'>2","g8 r8 r4 <g, g>2"
"161","0","\partial 4 d''8.\noBeam d''16","\partial 4 <b' d''>4","\partial 4 r4"
"161","1","e''4. a'8 b'8[ c''16( b'16) a'8] g'8","<cis'' e''>4. <d' a'>8 <d' b'>2","r8 c'8 a8 fis8 g4 g,4"
"162","0","\partial 2. <d' d''>4 r4 r4","\partial 2. <d' d''>4 <d'' a'' d'''>4 <d'' a'' d'''>4","\partial 2. d4 <d, d>4 <d, d>4"
"163","0","b'8[ d''8] \grace{c''16} b'8[ a'16 g'16] fis'4 g'4","<g' b'>4 r8. <b g'>16 <a fis'>4 <b g'>4","<g, g>4 r8. g,16 c4 b,8 g,8"
"164","0","\partial 2. \grace{a'4} g'2 r4","\partial 2. r4 <b g'>8. <d' b'>16 <b g'>4","\partial 2. <g, g>2."
"165","0","d''4.( c''8) b'4 b'8.\noBeam b'16","<b' d''>4. <a' c''>8 <g' b'>4 \times 2/3 {<b' g''>8 <g' b'>8 <g' b'>8}","r4 g4 g,4 e4"
"166","0","fis'8 [( g'8 a'8 g'8 )] d'4 d'8.\noBeam d''16","r4 <fis' a'>4 r4 <d' fis' a' d''>4","d'4 r4 d4 r4"
"167","0","e''4 g''16 e''16 c''16 a'16 g'4 a'8. b'16","<g' e''>4.. <a' c''>16 <g' b'>4 <fis' a'>4","<c, c>4.. c'16 d'4 d4"
"168","0","c''4. fis'8 d'4 d''8. d''16","r8 <d' fis' a'>8 <d' fis' a'>8 <d' fis' a'>8 r8 <fis' a' d''>8 <fis' a' d''>8 <fis' a' d''>8","<d, d>4 r4 <d, d>4 r4"
"169","0","\partial 2. b'4 r4 r4","\partial 2. g'8 a'16 b'16 c''16 d''16 e''16 fis''16 g''4","\partial 2. <g b>2 g,4"
"170","0","e''4. fis'8 g'8[ b'8] a'8[ g'8 ]","<g' e''>4. <d' fis'>8 <d' g'>8 [ b'8 <c' a'>8 <d' g'>8 ]","<c c'>2 b8 g8( fis8) g8"
"171","0","a'4( a'16 c''16) b'16 d''16 c''4 a'8.\noBeam d''16","r4 a'8 [ <e' b'>8 ] <e' c''>4 <d' a'>4","c'4. gis8 a4 d4"
"172","0","\partial 2. <d' d''>4 r4 r4","\partial 2. d''8 e''16 fis''16 g''16 a''16 b''16 cis'''16 d'''4","\partial 2. <d fis>2."
"173","0","a'4.( \grace{b'16 a'16 g'16 a'16} b'8) c''4 e''8. e''16","<c' a'>2 r8 <a' c''>8 <c'' e''>8 r8","r4 a4 a,4 r4"
"174","0","b'8[ g'8] c''8[ a'8] e''8[ d''8] c''8[ b'8 ]","<g' b'>4 <a' c''>4 <c'' e''>8 [ <b' d''>8 <a' c''>8 <g' b'>8 ]","<g, g>1"
"175","0","a'4( a'16 [ b'16) a'16 g'16 ] fis'4 d''8. [ d''16 ]","<fis' a'>2 r8 d'16 [ fis'16 a'8 d''8 ]","r8 d'8 [ a8 fis8 ] d4 r4"
"176","0","\partial 4 d''8.\noBeam e''16","\partial 4 <fis' d''>8. <g' e''>16","\partial 4 r4"
"176","1","c''4. a'8 b'8[ c''16 b'16 a'8] g'8","<a' c''>2 <g' b'>2","r4 <fis, fis>4 r4 <g, g>4"
"177","0","b'4. fis'8 d'4 d''8. d''16","r4 <fis' d''>8. [ <fis' d''>16 ] <fis' d''>4 <fis' d''>4","r4 <d, d>8. [ <d, d>16 ] <d, d>4 <d, d>4"
"178","0","\partial 4 d''8.\noBeam( b'16)","\partial 4 r4","\partial 4 r4"
"178","1","gis'8[ e'8] gis'8[ b'8] b'16 c''16 d''16 c''16 b'4","<e' gis' b' d''>1","<e, e>1"
"179","0","\partial 2. {<<{\voiceOne \grace{e''4} d''2 r4} \new Voice {\voiceTwo d'4 r4 r4}>>}","\partial 2. r4 <fis' d''>8. <a' fis''>16 <fis' d''>4","\partial 2. <d, d>2."
"180","0","\partial 4 b'8.\noBeam( c''16)","\partial 4 r4","\partial 4 r4"
"180","1","\grace{e''8} d''4 c''8 b'8 \grace{c''8} b'4 a'8 g'8","r8 <b' d''>8( <a' c''>8 <g' b'>8) r8 <g' b'>8( <fis' a'>8 <e' g'>8)","g4 r4 g,4 r4"
"181","0","a'4 \grace { e''16 } d''8 [ cis''16 d''16 ] d'4 d''8. [ d''16 ]","<fis' a'>2. r4","<d d'>2( d'8) [ d16 fis16 a8 d'8 ]"
"182","0","\grace { b'8 } a'4 a'4 r4 d''8.\noBeam d''16","r4 <fis' a'>8. [ <g' b'>16 ] <fis' a'>4 <d' fis' a' d''>4","<d d'>2. <d, d>4"
"183","0","\partial 2. {<<{\voiceOne \grace{e''4} d''2 r4} \new Voice {\voiceTwo d'4 r4 r4}>>}","\partial 2. r4 <fis' d''>8. <fis' d''>16 <fis' d''>4","\partial 2. r4 <d d'>8. <d d'>16 <d d'>4"
"184","0","a'4. b'16 [( c''16) ] b'4 d''8.\noBeam g''16","{<<{\voiceOne a'2 b'4 <g' d''>4} \new Voice {\voiceTwo r4 d'2.}>>}","r4 fis4( g4) <b, b>4"
"185","0","d''8([ cis''8]) cis''8([ bes'8]) bes'8([ a'8]) a'8[( g'8)]","<cis'' bes' g' e'>1","<es es'>1"
"186","0","\partial 4 d''8.\noBeam( d''16)","\partial 4 r4","\partial 4 r4"
"186","1","d''8[ fis'8] fis'8[ g'8] a'8[ b'8] c''8[ b'8]","r8 <d' fis'>4 <d' g'>8 <fis' a'>8 <g' b'>8( <a' c''>8 <g' b'>8)","d2( d8)[ g8( fis8 g8)]"
"187","0","g'8[ fis'8] g'8[ a'8] b'8[ a'8] b'8[ c''8]","<b b'>4. <d' a'>8 <g' b'>4. <a' c''>8","<g, g>4. <fis, fis>8 <e, e>4. <c, c>8"
"188","0","g'4. a'8 b'8[ c''8] d''8[ e''8]","<b g'>4. <d' a'>8 {<<{\voiceOne b'8 c''8 d''8 e''8} \new Voice {\voiceTwo g'2}>>}","<g, g>4. fis8 g8 a8 b8 c'8"
"189","0","e''4. c''8 a'4. d''8","r4 <c' g' c'' e''>4 r4 <d' fis' a' d''>4","<c, c>4 r4 <d, d>4 r4"
"190","0","e''4 c'8 r16\fermata e''16 \grace{e''16} d''8 c''16 b'16 \grace{b'16} a'8 g'16 fis'16","<g' e''>4. r8\fermata <g' b' d''>4 <a' c'' d'' fis''>4","<c, c>4. r8\fermata d'4 d4"
"191","0","c''8([ b'8]) d''8.[( b'16]) b'8 a'8 e''8. c''16","r8 <g' b'>8 <b' d''>8 <g' b'>8 r8 <e' a'>8 <c'' e''>8 <a' c''>8","<g, g>2 c2"
"192","0","\grace { b'8 }  a'4 a'4 r4 d''8.\noBeam d''16","r4 a'16 [ d''16 cis''16 d''16 ] a'8 [ <a' d''>8 <a' d''>8 <a' d''>8 ]","<d fis>2. fis4"
"193","0","cis''4 d''4 r4 d''8.\noBeam d''16","<e' g' a' cis''>4 <d' fis' b' d''>4 r16 d'16 [ fis'16 a'16 ] d''4","<a, a>4 <b, b>4 <fis, fis>4. d8"
"194","0","e''4 \grace{d''16} c''8 b'16 a'16 g'4 fis'8. d''16","<g' e''>4 r8 <a' c''>8 r8 <g' b'>8 r8 <fis' a'>8","<c, c>4 c'8 r8 d'8 r8 d8 r8"
"195","0","fis'16( g'16 a'16 fis'16) d'4 g'8[ d'8] g'8 b'8","<a fis'>4 r4 <b g'>4 <g' b'>4","<d, d>4 r4 r2"
"196","0","g''4 g'8\fermata r16 g'16 \grace{b'16} a'8. g'16 a'8. b'16","<g' b' d'' g''>4 r4\fermata <d' a'>4 <d' a'>4","<d, d>4 r4\fermata <d a>4 <d a>4"
"197","0","\grace { cis''8 } b'4 a'8 [ g'8 ] fis'8 [ e'8 ] a'8 [ c'8 ]","r8 <g' b'>8 [ <fis' a'>8 <e' g'>8 ] r8 <cis' e'>8 [ <cis' e'>8 <cis' e'>8 ]","<g, g>4 r4 <a, a>4 r4"
"198","0","cis''2\fermata c''8.([ d''16]) b'8. g'16","<g' cis''>2\fermata {<<{\voiceOne <a' cis''>4 <g' b'>4} \new Voice {\voiceTwo d'2}>>}","<e, e>2\fermata <fis, fis>4 <g, g>4"
