"bar_index","piano_right_hand","piano_left_hand"
"36","{<<{\voiceOne \tuplet 3/2 {cis''8 [d''8 e''8]} g'2} \new Voice {\voiceTwo e'4 e'2}>>}","a,8 [a8] a16 ^\trill [g16 a8] a,8 [a8]"
"37","{<<{\voiceOne a'8 [cis''8] b'8 [a'8] g''8 [g''8]} \new Voice {\voiceTwo a'2 e''8 [e''8]}>>}","a4. a8 cis'8 [a8]"
"38","{<<{\voiceOne \tuplet 3/2 {cis''8 [a'8 g'8]} \tuplet 3/2 {fis'8 [g'8 a'8]} d'8. [<a'cis''>16]} \new Voice {\voiceTwo g'4 r4 r8 r8}>>}","e4. d8 fis8 [d8]"
"39","{<<{\voiceOne a'8 [f''8] f''8 [e''8] e''8 [d''8]} \new Voice {\voiceTwo f'8 [a'8] a'8 [g'8] g'8 [f'8]}>>}","d4 d'4 g4"
"40","{<<{\voiceOne c''8 [es''8] es''8 [d''8] d''8 [c''8]} \new Voice {\voiceTwo a'8 [c''8] c''8 [bes'8] bes'8 [a'8]}>>}","fis2 fis4"
"41","{<<{\voiceOne bes'8 g''4 e''4 bes'8} \new Voice {\voiceTwo g'8 bes'4 g'4 g'8}>>}","g4 c4 e4"
"42","{<<{\voiceOne \tuplet 3/2 {f'8 [e'8 d'8]} e'2 ^\trill} \new Voice {\voiceTwo d'2 cis'4}>>}","d4 a4 a,4"
"43","{<<{\voiceOne r8 f''8 e''8 [d''8] a''8 [c''8]} \new Voice {\voiceTwo a'2 a'4}>>}","d2 f4"
"44","{<<{\voiceOne d''8 [cis''8] cis''8 [e''8] e''8 [g'8]} \new Voice {\voiceTwo f'8 [e'8] e'8 [g'8] g'8 [e'8]}>>}","a4 a,4. cis8"
"45","{<<{\voiceOne cis''8 [a'8] e'8 [cis'8] a4} \new Voice {\voiceTwo s2.}>>}","a,8 [a8] e8 [cis8] a,4"
"46","{<<{\voiceOne bes'8 [d''8] d''8 [c''8] c''8 [bes'8]} \new Voice {\voiceTwo g'8 [bes'8] bes'8 [a'8] a'8 [g'8]}>>}","e2 e4"
"47","{<<{\voiceOne c''8 [bes'8] d''8 [g''8] g'4} \new Voice {\voiceTwo d'4. bes8 d'8 [bes8]}>>}","g4. g8 bes8 [g8]"
"48","{<<{\voiceOne \tuplet 3/2 {f'8 [e'8 d'8]} e'2 ^\trill} \new Voice {\voiceTwo d'2 cis'4}>>}","d4 a4 a,4"
"49","{<<{\voiceOne <d'bes'>4. <g''e''>8 <e''c''>8 [<bes'g'>8]} \new Voice {\voiceTwo s2.}>>}","\tuplet 3/2 {g,8 [bes,8 d8]} g8 [e8] c8 [e8]"
"50","{<<{\voiceOne d'2.} \new Voice {\voiceTwo d'2.}>>}","d4 a,4 d,4"
"51","{<<{\voiceOne r8 <f''d''>8 <f''d''>16 [<e''cis''>16 <f''d''>8] <a''a'>8 [<f''d''>8]} \new Voice {\voiceTwo s2.}>>}","d4 d4 f4"
"52","{<<{\voiceOne \tuplet 3/2 {f'8 [e'8 d'8]} e'2 ^\trill} \new Voice {\voiceTwo d'2 cis'4}>>}","d4 a4 a,4"
"53","{<<{\voiceOne g''8 [e''8] e''4 f''4} \new Voice {\voiceTwo e''8 [cis''8] cis''4 d''4}>>}","d4. f8 a8 [d'8]"
"54","{<<{\voiceOne r8 <f'd''>8 <f'd''>16 [<e'cis''>16 <f'd''>8] d'8 [<f'd''>8]} \new Voice {\voiceTwo s2.}>>}","d2 d4"
"55","{<<{\voiceOne bes'8 [g''8] g'2} \new Voice {\voiceTwo s2.}>>}","<bes g>8 [<d' bes>8] <d' bes>8 [<c' a>8] <c' a>8 [<bes g>8]"
"56","{<<{\voiceOne f'2.} \new Voice {\voiceTwo f'2.}>>}","f,8 [f8] f16 ^\trill [e16 f8] f,4"
"57","{<<{\voiceOne <f'd''>4 <e'cis''>2} \new Voice {\voiceTwo s2.}>>}","a,8 [a8] a16 ^\trill [gis16 a8] a,4"
"58","{<<{\voiceOne r8 d'8 es'8 ^\trill [d'8] a'8 [c''8]} \new Voice {\voiceTwo s2.}>>}","<a fis>2 <a fis>4"
"59","{<<{\voiceOne a''4. e''8 f''8 [d''8]} \new Voice {\voiceTwo f''4. cis''8 d''8 [f'8]}>>}","\tuplet 3/2 {d8 [f8 a8]} d'4 d'4"
"60","{<<{\voiceOne \tuplet 3/2 {a'8 [g'8 f'8]} f'2} \new Voice {\voiceTwo c'4 c'2}>>}","f8 [f,8] a,8 [c8] f8 [f,8]"
"61","{<<{\voiceOne \tuplet 3/2 {a'8 [g'8 f'8]} g'2 ^\trill} \new Voice {\voiceTwo f'2 e'4}>>}","f4 c4 c,4"
"62","{<<{\voiceOne \tuplet 3/2 {bes'8 [g'8 e'8]} c'4 bes'4} \new Voice {\voiceTwo g'4 c'4 g'4}>>}","e2."
"63","{<<{\voiceOne f'2.} \new Voice {\voiceTwo f'2.}>>}","f,4 c4 f4"
"64","{<<{\voiceOne \tuplet 3/2 {cis''8 [e''8 d''8]} \tuplet 3/2 {cis''8 [b'8 a'8]} \tuplet 3/2 {g'8 [f'8 e'8]}} \new Voice {\voiceTwo e'4 e'4 e'4}>>}","a4 a,4 cis4"
"65","{<<{\voiceOne g''4 f''2} \new Voice {\voiceTwo e''4 d''2}>>}","d8 [d'8] a8 [f8] d4"
"66","{<<{\voiceOne r8 c'8 d'8 ^\trill [c'8] g'8 [<g'bes'>8]} \new Voice {\voiceTwo s2.}>>}","<g e>2 <g e>4"
"67","{<<{\voiceOne r8 bes''8 bes''8 [a''8] a''8 [g''8]} \new Voice {\voiceTwo r8 g''8 g''8 [f''8] f''8 [e''8]}>>}","cis'2."
"68","{<<{\voiceOne c''4 bes'2} \new Voice {\voiceTwo a'4 g'2}>>}","\tuplet 3/2 {g,8 [bes,8 d8]} g8 [f8] e8 [d8]"
"69","{<<{\voiceOne d''8 [cis''8] cis''8 [b'8] b'8 [a'8]} \new Voice {\voiceTwo f'8 [e'8] e'8 [d'8] d'8 [cis'8]}>>}","a4 a,4 r4"
"70","{<<{\voiceOne bes'8 [g''8] g''4. bes'8} \new Voice {\voiceTwo g'8 [bes'8] bes'4. g'8}>>}","e8 [c8] e8 [g8] c'8 [e8]"
"71","{<<{\voiceOne d''8 [cis''8] e''8 [a''8] a'4} \new Voice {\voiceTwo e'4 cis''4 r4}>>}","a,4 a4 r4"
"72","{<<{\voiceOne bes'8 [a'8] c''8 [f''8] f'4} \new Voice {\voiceTwo s2.}>>}","<a f>4. <a f>8 <c' a>8 [<a f>8]"
"73","{<<{\voiceOne f'2.} \new Voice {\voiceTwo f'2.}>>}","f,8 [f8] c8 [a,8] f,4"
"74","{<<{\voiceOne r8 a''4 e''8 f''8 [d''8]} \new Voice {\voiceTwo r8 f''4 cis''8 d''8 [f'8]}>>}","\tuplet 3/2 {d8 [f8 a8]} d'4 d'4"
"75","{<<{\voiceOne bes'8 [g''8] bes'2} \new Voice {\voiceTwo g'8 [bes'8] g'2}>>}","r8 g,8 g,8 [e8] e8 [c8]"
"76","{<<{\voiceOne d'2.} \new Voice {\voiceTwo d'2.}>>}","d4 a,4 d,4"
"77","{<<{\voiceOne \tuplet 3/2 {a'8 [g'8 f'8]} g'2 ^\trill} \new Voice {\voiceTwo f'2 e'4}>>}","f4 c4 c,4"
"78","{<<{\voiceOne r8 d''8 d''16 [cis''16 d''8] d'8 [d''8]} \new Voice {\voiceTwo r8 f'8 f'4. f'8}>>}","d2 d4"
"79","{<<{\voiceOne r8 <a'c''>8 <a'c''>16 [<g'bes'>16 <a'c''>8] d'8 [<a'c''>8]} \new Voice {\voiceTwo s2.}>>}","fis2."
"80","{<<{\voiceOne \tuplet 3/2 {d''8 [f''8 e''8]} \tuplet 3/2 {d''8 [cis''8 d''8]} \tuplet 3/2 {d''8 [cis''8 d''8]}} \new Voice {\voiceTwo s2.}>>}","<d' d>4 <d' bes>4 <d' gis>4"
"81","{<<{\voiceOne \tuplet 3/2 {d'8 [f'8 a'8]} d''4 d''4} \new Voice {\voiceTwo r4 a'4 f'4}>>}","d4 f4 d4"
"82","{<<{\voiceOne d'2.} \new Voice {\voiceTwo d'2.}>>}","d4 a,4 d,4"
"83","{<<{\voiceOne \tuplet 3/2 {a'8 [g'8 f'8]} g'2 ^\trill} \new Voice {\voiceTwo f'2 e'4}>>}","f4 c4 c,4"
"84","{<<{\voiceOne a''4 f''4 d''4} \new Voice {\voiceTwo s2.}>>}","d4. e8 f8 [g8]"
"85","{<<{\voiceOne cis''16 [d''16] e''4 bes'8 a'8 [g'8]} \new Voice {\voiceTwo e'4. g'8 f'8 [e'8]}>>}","a4 cis4 cis4"
"86","{<<{\voiceOne \tuplet 3/2 {d''8 [f''8 a''8]} d'''8 [a''8] f''8 [d''8]} \new Voice {\voiceTwo s2.}>>}","<a f>2 <a d>4"
"87","{<<{\voiceOne d'2.} \new Voice {\voiceTwo d'2.}>>}","d4 a,4 d,4"
"88","{<<{\voiceOne \tuplet 3/2 {a'8 [g'8 f'8]} g'2 ^\trill} \new Voice {\voiceTwo f'2 e'4}>>}","f4 c4 c,4"
"89","{<<{\voiceOne r8 a'8 a'8 [f''8] f''8 [d''8]} \new Voice {\voiceTwo r8 f'8 f'8 [a'8] a'8 [f'8]}>>}","d2 d4"
"90","{<<{\voiceOne d''8 [d'8] d''4. c''8} \new Voice {\voiceTwo f'4 a'2}>>}","d4 f4 fis4"
"91","{<<{\voiceOne c''8 [bes'8] bes'8 [a'8] a'8 [g'8]} \new Voice {\voiceTwo a'8 [g'8] g'8 [c'8] c'8 [bes8]}>>}","g4 g,4 r4"
"92","{<<{\voiceOne f'2.} \new Voice {\voiceTwo f'2.}>>}","f,8 [f,8] a,8 [c8] f4"
"93","{<<{\voiceOne c''4 bes'2} \new Voice {\voiceTwo a'4 g'2}>>}","g,8 [g8] g16 [fis16 g8] f,8 [f8]"
"94","{<<{\voiceOne \tuplet 3/2 {c''8 [a'8 fis'8]} d'4 c''4} \new Voice {\voiceTwo a'4 d'4 a'4}>>}","fis2."
"95","{<<{\voiceOne bes'8 [g''8] g''4. bes'8} \new Voice {\voiceTwo g'8 [bes'8] bes'4. g'8}>>}","g4. c8 d8 [e8]"
"96","{<<{\voiceOne f'2.} \new Voice {\voiceTwo f'2.}>>}","f,4. a16 [g16] f8 [e8]"
